run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,0.823529,28.000000,0.110000,4.000000,4.000000,0.867611
2,0.500000,20.000000,0.080000,3.000000,3.000000,1.126804
3,0.794118,27.000000,0.100000,3.333333,3.333333,1.082160
4,0.642857,18.000000,0.080000,2.928571,2.928571,0.883477
5,0.718750,23.000000,0.110000,3.709091,3.709091,0.734887
6,0.583333,28.000000,0.130000,3.000000,3.000000,0.813188
7,0.977273,43.000000,0.160000,3.900000,3.900000,0.738123
8,0.100000,1.000000,0.010000,0.000000,0.000000,0.000000
9,0.600000,21.000000,0.080000,3.000000,3.000000,0.706604
10,0.461538,18.000000,0.110000,3.454545,3.454545,0.810566
avg,0.620140,22.700000,0.097000,3.032554,3.032554,0.776342
std,0.228323,10.060318,0.037430,1.078195,1.078195,0.291451
