run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,1.000000,19.000000,0.090000,2.666667,2.666667,0.624526
2,0.962963,26.000000,0.100000,3.666667,3.666667,0.883448
3,1.000000,6.000000,0.020000,1.000000,1.000000,0.439220
4,0.894737,17.000000,0.080000,3.000000,3.000000,0.637517
5,1.000000,26.000000,0.110000,2.872727,2.872727,0.814210
6,1.000000,50.000000,0.210000,4.933333,4.933333,0.776696
7,1.000000,15.000000,0.080000,3.357143,3.357143,0.831676
8,1.000000,9.000000,0.040000,1.666667,1.666667,0.710000
9,1.000000,42.000000,0.180000,5.686275,5.686275,0.829425
10,1.000000,20.000000,0.080000,3.500000,3.500000,0.798269
avg,0.985770,23.000000,0.099000,3.234948,3.234948,0.734499
std,0.032291,13.107250,0.054672,1.308775,1.308775,0.127330
