run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,0.273973,20.000000,0.080000,3.142857,3.142857,0.843441
2,0.397059,27.000000,0.140000,3.582418,3.582418,0.916608
3,0.600000,63.000000,0.260000,4.483077,4.483077,0.924515
4,0.271429,19.000000,0.090000,2.777778,2.777778,0.803783
5,0.540541,40.000000,0.150000,3.466667,3.466667,0.884356
6,0.485714,34.000000,0.140000,3.252747,3.252747,0.845465
7,0.181818,8.000000,0.040000,1.666667,1.666667,0.631010
8,0.349206,22.000000,0.120000,3.121212,3.121212,0.828333
9,0.209677,13.000000,0.070000,3.428571,3.428571,0.769630
10,0.052632,3.000000,0.030000,4.000000,4.000000,1.051231
avg,0.336205,24.900000,0.112000,3.292199,3.292199,0.849837
std,0.163062,16.555664,0.063372,0.707991,0.707991,0.104282
