run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,1.000000,5.000000,0.040000,2.833333,2.833333,1.160002
2,1.000000,25.000000,0.100000,3.533333,3.533333,1.064472
3,1.000000,22.000000,0.090000,3.444444,3.444444,1.003240
4,1.000000,9.000000,0.050000,2.000000,2.000000,0.734941
5,0.958333,23.000000,0.090000,3.333333,3.333333,0.740173
6,1.000000,20.000000,0.100000,3.666667,3.666667,0.928536
7,1.000000,5.000000,0.040000,2.666667,2.666667,0.665610
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1.000000,23.000000,0.100000,4.222222,4.222222,0.692439
10,1.000000,17.000000,0.070000,3.333333,3.333333,0.577602
avg,0.895833,14.900000,0.068000,2.903333,2.903333,0.756701
std,0.298869,8.757283,0.032496,1.126406,1.126406,0.310730
