run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,1.000000,37.000000,0.140000,3.065934,3.065934,0.774015
2,0.814815,22.000000,0.080000,3.000000,3.000000,0.701616
3,1.000000,11.000000,0.050000,2.000000,2.000000,0.603369
4,0.918919,34.000000,0.140000,2.857143,2.857143,0.891010
5,0.916667,22.000000,0.090000,3.166667,3.166667,0.760248
6,1.000000,28.000000,0.130000,3.000000,3.000000,0.801112
7,0.968750,31.000000,0.110000,3.090909,3.090909,0.981944
8,1.000000,28.000000,0.140000,4.450549,4.450549,0.986795
9,0.760000,19.000000,0.100000,3.666667,3.666667,0.745288
10,0.913043,21.000000,0.090000,3.500000,3.500000,0.520420
avg,0.929219,25.300000,0.107000,3.179787,3.179787,0.776582
std,0.079907,7.376313,0.029000,0.594651,0.594651,0.142321
